date,event,corner_a,corner_b,elo_diff,win_total_diff,loss_total_diff,win_streak_diff,loss_streak_diff,finish_rate_diff,avg_opponent_elo_diff,layoff_days_diff,age_diff,height_in_diff,reach_in_diff,a_won
1995-09-08,UFC 7: The Brawl in Buffalo,Remco Pardoel,Marco Ruas,3.1490469533067653,1,1,1,0,-0.33333333333333337,19.62111273516109,546,-8.0,1.0,,0
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,Mark Hall,-15.96325702092679,1,2,0,1,0.3333333333333333,-5.2977238959720125,0,-9.0,8.0,,1
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Larry Cureton,48.9148749705447,2,-1,2,-1,1.0,26.286278753638044,-154,,-1.0,,1
1995-09-08,UFC 7: The Brawl in Buffalo,Remco Pardoel,Ryan Parker,3.005805714305552,2,2,0,1,0.5,18.745165547119313,0,,-1.0,,1
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,Gerry Harris,0.7713612710861071,2,2,1,0,0.5,-3.9732929219790094,0,,0.0,,1
1995-09-08,UFC 7: The Brawl in Buffalo,Mark Hall,Harold Howard,-17.470925085534873,-1,0,-1,1,-0.5,-15.96325702092679,-364,,-2.0,,1
1995-09-08,UFC 7: The Brawl in Buffalo,David Hood,Scott Bessac,0.0,0,0,0,0,0.0,0.0,0,,-4.0,,0
1995-09-08,UFC 7: The Brawl in Buffalo,Francesco Maturi,Onassis Parungao,0.0,0,0,0,0,0.0,0.0,0,,0.0,,0
1995-09-08,UFC 7: The Brawl in Buffalo,Geza Kalman,Joel Sutton,-16.0,-1,0,-1,0,-1.0,0.0,-56,,0.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Oleg Taktarov,Dan Severn,0.5184432550299789,-1,-1,4,-1,0.08571428571428574,195.03698653301888,-56,-10.0,-2.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,David Abbott,Dan Severn,-46.666200854442764,-4,-1,1,0,0.04166666666666663,-24.975988193840067,155,-7.0,-2.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Oleg Taktarov,Marco Ruas,-13.972423805809285,1,2,-3,1,-0.33333333333333337,188.4442534837408,-99,-7.0,-1.0,,1
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Steve Jennum,David Abbott,28.327842064738775,0,-2,2,-1,0.5,-16.446401706729716,365,2.0,-2.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Paul Varelans,Dan Severn,-60.59375923901018,-4,0,0,0,0.0444444444444444,-27.933480394649223,99,-11.0,6.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Keith Hackney,Marco Ruas,-8.80548608648894,-1,0,1,-1,-0.08333333333333337,31.603401415497046,365,3.0,-2.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Dave Beneteau,Oleg Taktarov,-46.2987412484232,-3,0,-1,1,-0.0714285714285714,-155.32441532996359,155,,2.0,,0
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Mark Hall,Trent Jenkins,16.069270079930448,1,0,1,-1,0.5,-7.613475113702407,-665,,-2.0,,1
1995-12-16,UFC 7.5: Ultimate Ultimate 1995,Joe Charles,Scott Bessac,-14.414398055833999,0,1,-1,1,-0.5,25.272756926145803,154,,-3.0,,1
1996-02-16,UFC 8: David vs Goliath,Don Frye,Gary Goodridge,0.0,0,0,0,0,0.0,0.0,0,0.0,-2.0,,1
1996-02-16,UFC 8: David vs Goliath,Ken Shamrock,Kimo Leopoldo,61.66817339027091,4,0,4,-1,0.8,356.3489451486885,-364,4.0,-2.0,,1
1996-02-16,UFC 8: David vs Goliath,Jerry Bohlander,Gary Goodridge,16.0,0,-1,0,-1,0.0,0.0,0,-9.0,-4.0,,0
1996-02-16,UFC 8: David vs Goliath,Don Frye,Sam Adkins,16.0,1,0,1,0,1.0,0.0,0,0.0,-2.0,,1
1996-02-16,UFC 8: David vs Goliath,Paul Herrera,Gary Goodridge,-0.736306793521976,-1,-1,-1,0,-0.5,0.0,0,1.0,-5.0,,0
1996-02-16,UFC 8: David vs Goliath,Scott Ferrozzo,Jerry Bohlander,16.736306793521976,0,-1,0,-1,0.0,16.0,0,9.0,0.0,,0
1996-02-16,UFC 8: David vs Goliath,Joe Moreira,Paul Varelans,-3.498332860384153,-3,-3,0,-1,-0.5,-10.239404396877035,-62,8.0,-9.0,,0
1996-02-16,UFC 8: David vs Goliath,Don Frye,Thomas Ramirez,31.26369320647791,2,0,2,0,1.0,0.0,0,,0.0,,1
1996-02-16,UFC 8: David vs Goliath,Keith Mielke,Sam Adkins,15.263693206478024,0,-1,0,-1,0.0,-16.0,0,,-6.0,,0
